346,31489,Texas TAC
347,31491,Northern Utah
348,31492,Davis Utah
349,31493,Northeast Uta
350,31499,Utah TAC
351,31500,Vermont TAC
352,31510,VA TAC
353,31511,Richmond Metr
354,31512,ARES Emcomm
355,31513,Southwest Vir
356,31514,Shenandoah Va
357,31515,Tidewater VA
358,31516,VA PENINSULA
359,31530,PNW-West
360,31531,Olympic Penin
361,31532,Washington TA
362,31538,Washington St
363,31539,Washington St
364,31540,West Virginia
365,31541,West Virginia
366,31550,Wisconsin TAC
367,31551,WI--Fusion
368,31556,WI Ares/Emcom
369,31560,SE Wyoming ch
370,31561,Wyoming Tac
371,31563,Wyoming Sever
372,31564,SW Wyoming
373,31565,NW Wyoming
374,31566,NE Wyoming
375,31567,Central Wyomi
376,31600,USA - Area 0
377,31601,USA - Area 1
378,31602,USA - Area 2
379,31603,USA - Area 3
380,31604,USA - Area 4
381,31605,USA - Area 5
382,31606,USA - Area 6
383,31607,USA - Area 7
384,31608,USA - Area 8
385,31609,USA - Area 9
386,31620,Kings of Digi
387,31621,HRCC
388,31622,South East FL
389,31623,Public Safety
390,31629,SwiNe
391,31652,RVing Hams
392,31654,4SQRP
393,31655,Venture Overl
394,31660,Ocean County
395,31661,OMIK
396,31662,LIMARC
397,31663,Truck-N-Trave
398,31665,DMR Campfire-
399,31666,DMR of Anarch
400,31667,Old Friends
401,31670,Florida Gulf
402,31672,PI-Star Chat
403,31673,R5AUXCOMM
404,31675,REF020A Bridg
405,31676,Allstar 46031
406,31677,OEI Repeater
407,31678,Catawba Valle
408,31686,Metropolitan
409,31689,FDMRCCU
410,31691,IL/IN/WI TriS
411,31697,Russian Ameri
412,31699,Greek America
413,31771,PNWR
414,31801,The Gathering
415,31821,Jefferson Sta
416,31900,900 Mhz Repea
417,313136,KC WIDE NET
